Item ID,Location,Device,Model,Status,Serial Number,Internet,Memory Card,Printer Cover,Notes,EID Number,,
3P102,Office,360 Podium,Small,In Stock,N/A,N/A,N/A,N/A,,,,
3P101,Office,360 Podium,Large,In Stock,N/A,N/A,N/A,N/A,,,,
3P103,Office,360 Podium,Small,In Stock,N/A,N/A,N/A,N/A,,,,
BW6,Office,Backdrop,Black/ White,In Stock,N/A,N/A,N/A,N/A,,,,
GS2,Office,Backdrop,Gold Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
GRS1,Office,Backdrop,Green Screen (PU),In Stock,N/A,N/A,N/A,N/A,,,,
GS3,Office,Backdrop,Gold Sequin,In Booth,N/A,N/A,N/A,N/A,,,,
BW101,Office,Backdrop,Black/ White,In Booth,N/A,N/A,N/A,N/A,,,,
PS2,Office,Backdrop,Hot Pink Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
RS1,Office,Backdrop,Red Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
SS1,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
SS2,Ashley,Backdrop,Silver Sequin,In Booth,N/A,N/A,N/A,N/A,,,,
SS3,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
SS4,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
SS5,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BGS1,Office,Backdrop,Blue/ Green Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
PS1,Office,Backdrop,Light Pink Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BS1,Office,Backdrop,Blue Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BS2,Office,Backdrop,Steel Blue Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
GS4,Office,Backdrop,Gold Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
GS5,Imani,Backdrop,Gold Sequin,In Booth,N/A,N/A,N/A,N/A,,,,
SS6,Office,Backdrop,Silver Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BS3,Office,Backdrop,Navy Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
BW1,Imani,Backdrop,Black/ White,In Booth,N/A,N/A,N/A,N/A,,,,
BW2,Office,Backdrop,Black/ White,In Booth,N/A,N/A,N/A,N/A,,,,
BW3,Office,Backdrop,Black/ White,In Booth,N/A,N/A,N/A,N/A,,,,
GS1,Office,Backdrop,Gold Sequin,In Stock,N/A,N/A,N/A,N/A,,,,
B101,Office,Battery Pack,Small Battery,In Stock,HX120S2,N/A,N/A,N/A,,,,
B112,Office,Battery Pack,360 Battery,In Stock,BP-150WS,N/A,N/A,N/A,,,,
B109,Office,Battery Pack,360 Battery,In Stock,BP-150WS,N/A,N/A,N/A,,,,
B113,Office,Battery Pack,Small Battery,In Stock,HX120S2,N/A,N/A,N/A,,,,
